ID,OBS_DATE,ASM,ASM_D11,ASM_D,ASM_D_D11,ASM_I,ASM_I_D11,RPM,RPM_D11,RPM_D,RPM_D_D11,RPM_I,RPM_I_D11,LOAD_FACTOR,LOAD_FACTOR_D11,LOAD_FACTOR_D,LOAD_FACTOR_D_D11,LOAD_FACTOR_I,LOAD_FACTOR_I_D11,ENPLANE_I,ENPLANE_I_D11,ENPLANE_D,ENPLANE_D_D11,ENPLANE,ENPLANE_D11,AIR_RPM_TSI,AIR_RPM_TSI_D11,AIR_RTMFM,AIR_RTMFM_D11,RAIL_FRT_CARLOADS,RAIL_FRT_CARLOADS_D11,RAIL_FRT_INTERMODAL,RAIL_FRT_INTERMODAL_D11,RAIL_PM,RAIL_PM_D11,TRANSIT,TRANSIT_D11,PETROLEUM,PETROLEUM_D11,NATURAL_GAS,NATURAL_GAS_D11,WATERBORNE,WATERBORNE_D11,TRUCK_D11,VMT,VMT_D11,TSI_Freight,TSI_Freight_C,TSI_Passenger,TSI_Passenger_C,TSI_Total,TSI_Total_C,IND_PRO,MANUF,INV_TO_SALES,IDX_AIR_RPM,IDX_AIR_RTMFM,IDX_RAIL_FRT_CARLOADS,IDX_RAIL_FRT_INTERMODAL,IDX_RAIL_PM,IDX_TRANSIT_D11,IDX_PETROLEUM_D11,IDX_NATURAL_GAS_D11,IDX_WATERBORNE_D11,IDX_TRUCK_D11
SATD200001,01/01/2000,76146639,77898165,56288872,57539946,19857767,20358218,48263245,53750631,34913749,39568465,13349496,14182167,63.4,69,62,68.8,67.2,69.7,4952,5201,41540,47897,46492,53098,49843099,56175774,2182683,2472706,1402926,1422005,723747,767490,366607410,446569487,724934,768762,215985,212911,2510.5,1809.7,48.4,55.3,80,203442,227235,105.1,,95.8,,102,,98.84506835,100.690177,1.58,0.9523,0.9632,1.0164,1.0052,0.9581,0.9763,0.9518,0.966,1.1202,1.0677
SATD200002,02/01/2000,73011377,78583785,54329819,57846811,18681558,20736973,48580127,55662824,36005847,40668507,12574280,14994317,66.5,70.8,66.3,70.3,67.3,72.3,4812,5454,43714,48581,48526,54035,49931931,57893864,2341123,2528721,1341942,1420026,710611,765383,366139276,444283879,756536,767890,210132,226004,2330.7,1830.3,42,48.7,78.4,199261,228727,103.2,-1.8,97.9,2.2,101.4,-0.6,99.20808026,97.08480868,1.56,0.9815,0.985,1.0149,1.0025,0.9532,0.9752,1.0103,0.977,0.9848,1.0473
SATD200003,03/01/2000,80308529,79338452,59913798,58416133,20394731,20922319,59632014,56739737,43901516,41186758,15730498,15552980,74.3,71.5,73.3,70.5,77.1,74.3,5787,5543,52977,48766,58764,54309,61478163,58727731,2699633,2492860,1452147,1409950,771025,764993,453096388,455004747,843730,787696,216833,220028,2050.6,1722.9,52.5,52.5,74.7,232490,230237,99.7,-3.4,99.6,1.7,99.7,-1.7,99.58479277,99.76756139,1.55,0.9956,0.971,1.0077,1.002,0.9762,1.0003,0.9836,0.9197,1.0619,0.9968
SATD200004,04/01/2000,78139993,79336875,57402637,58382801,20737356,20954075,57636732,57751879,41954244,41692578,15682488,16059301,73.8,72.8,73.1,71.4,75.6,76.6,5688,5688,50344,49790,56032,55477,58981617,59209342,2528558,2553283,1386030,1400407,747905,764287,473751011,466854290,757458,774408,219340,222415,1783.3,1840.5,52.2,50.8,72.6,227698,229068,97.9,-1.8,99.8,0.2,98.6,-1.1,100.205527,101.4962878,1.58,1.0038,0.9946,1.0009,1.001,1.0016,0.9835,0.9943,0.9825,1.0289,0.969
SATD200005,05/01/2000,80515093,79084024,58896522,58174846,21618571,20909178,59749900,59126667,43168824,42784966,16581076,16341701,74.2,74.8,73.3,73.5,76.7,78.2,5892,5821,52309,50285,58201,56105,61223861,61187029,2528225,2521770,1440661,1405399,772852,762290,481725263,474334979,818246,782220,225649,218979,1632.9,1970.4,53.5,52.5,73.2,242501,229651,98.8,0.9,102.5,2.7,100,1.4,100.5019777,99.71473444,1.59,1.0373,0.9823,1.0045,0.9984,1.0177,0.9934,0.9789,1.0518,1.063,0.9766
SATD200006,06/01/2000,80393854,78951668,58286914,57651937,22106940,21299731,64046964,58241685,45856363,41907920,18190601,16333766,79.7,73.8,78.7,72.7,82.3,76.7,6400,5738,54673,49324,61073,55063,65601574,59746562,2537148,2514070,1390222,1394715,763056,753837,517102460,458070109,793911,786938,225621,220780,1513.1,1880.6,50.4,48.5,75,242963,230024,99.7,0.9,100.9,-1.6,100.1,0.1,100.5610952,101.3066819,1.6,1.0129,0.9793,0.9969,0.9874,0.9828,0.9994,0.9869,1.0039,0.9822,1.0016
SATD200007,07/01/2000,83853711,78964017,60607052,57654209,23246659,21309808,66435577,58208454,47303803,41717553,19131774,16490901,79.2,73.7,78,72.4,82.3,77.4,7014,5829,55568,50301,62582,56131,67898320,59191089,2461623,2476632,1377790,1400455,760109,757958,564747276,472178374,743746,790061,228889,222305,1525.6,1737.5,53.3,49.6,72.9,245140,228840,97.7,-2,100.4,-0.5,98.5,-1.6,100.3703656,100.3260994,1.6,1.0035,0.9647,1.001,0.9928,1.013,1.0033,0.9938,0.9275,1.0036,0.9733
SATD200008,08/01/2000,84702734,79344347,61479288,57950334,23223446,21394013,65252958,57209802,46457758,40819965,18795200,16389837,77,72.1,75.6,70.4,80.9,76.6,6881,5919,54474,50296,61355,56215,67028338,58594972,2623412,2567051,1473014,1401872,814860,756953,558060051,476093398,787064,789519,231542,225257,1653.1,1850.6,50.9,48.3,74.7,247832,229339,99.6,1.9,99.6,-0.8,99.7,1.2,100.1006688,98.93774986,1.62,0.9933,0.9999,1.002,0.9914,1.0214,1.0027,1.007,0.9879,0.9779,0.9975
SATD200009,09/01/2000,79912506,81501696,57899315,59919478,22013191,21582218,55470176,60254284,38372644,43149754,17097532,17104530,69.4,73.9,66.3,72,77.7,79.3,5859,6429,46363,52332,52222,58761,56441629,60961234,2711279,2763174,1427099,1417716,789037,766710,446489429,480828391,802516,792871,222945,225377,1475,1858.3,47.3,48.5,74.1,227899,231166,99.7,0.1,102.6,3,100.7,1,100.4941025,101.6850371,1.59,1.0335,1.0763,1.0133,1.0042,1.0316,1.0069,1.0075,0.992,0.9816,0.9887
SATD200010,10/01/2000,82627553,81249428,60761374,59524475,21866179,21724952,57979416,59505826,41820446,42715983,16158970,16789843,70.2,73.2,68.8,71.8,73.9,77.3,5635,6204,50920,51757,56555,57961,58834210,59412105,2839068,2642838,1489125,1395460,859903,782669,462329685,487285478,851255,796638,234903,234324,1567.9,1872.4,50.8,47.8,74.2,236491,230372,99.5,-0.2,100.9,-1.7,100,-0.7,100.1504009,99.58423758,1.6,1.0072,1.0294,0.9974,1.0251,1.0454,1.0117,1.0475,0.9995,0.968,0.9905
