date (International) Month,date (International) Week,date (International) Year,current (Domestic),current (International),Total Flights,Weekly Total Flights
Jan,Week 2,2019,24117,4636,28753,203187
Jan,Week 2,2019,25652,4383,30035,203187
Jan,Week 2,2019,25227,4065,29292,203187
Jan,Week 2,2019,25746,4153,29899,203187
Jan,Week 2,2019,26678,4308,30986,203187
Jan,Week 2,2019,26142,4383,30525,203187
Jan,Week 2,2019,19078,4619,23697,203187
Jan,Week 3,2019,22374,4361,26735,198507
Jan,Week 3,2019,25143,4200,29343,198507
Jan,Week 3,2019,24941,3914,28855,198507
Jan,Week 3,2019,25572,4103,29675,198507
Jan,Week 3,2019,26933,4314,31247,198507
Jan,Week 3,2019,26494,4394,30888,198507
Jan,Week 3,2019,17378,4386,21764,198507
Jan,Week 4,2019,19648,4117,23765,195397
Jan,Week 4,2019,24720,4161,28881,195397
Jan,Week 4,2019,24154,3832,27986,195397
Jan,Week 4,2019,25355,3963,29318,195397
Jan,Week 4,2019,26471,4172,30643,195397
Jan,Week 4,2019,26372,4338,30710,195397
Jan,Week 4,2019,19536,4558,24094,195397
Jan,Week 5,2019,23153,4308,27461,193211
Jan,Week 5,2019,23782,3946,27728,193211
Jan,Week 5,2019,24144,3710,27854,193211
Jan,Week 5,2019,23283,3835,27118,193211
Jan,Week 5,2019,25006,4038,29044,193211
Feb,Week 5,2019,26168,4233,30401,193211
Feb,Week 5,2019,19089,4516,23605,193211
Feb,Week 6,2019,20933,4223,25156,197414
Feb,Week 6,2019,25576,4073,29649,197414
Feb,Week 6,2019,24743,3785,28528,197414
Feb,Week 6,2019,25547,3801,29348,197414
Feb,Week 6,2019,26376,4108,30484,197414
Feb,Week 6,2019,26198,4229,30427,197414
Feb,Week 6,2019,19304,4518,23822,197414
Feb,Week 7,2019,22862,4275,27137,200801
Feb,Week 7,2019,24601,4083,28684,200801
Feb,Week 7,2019,23259,3481,26740,200801
Feb,Week 7,2019,26023,3817,29840,200801
Feb,Week 7,2019,27474,4263,31737,200801
Feb,Week 7,2019,27255,4432,31687,200801
Feb,Week 7,2019,20240,4736,24976,200801
Feb,Week 8,2019,21455,4341,25796,203181
Feb,Week 8,2019,25865,4243,30108,203181
Feb,Week 8,2019,26571,4044,30615,203181
Feb,Week 8,2019,24907,4003,28910,203181
Feb,Week 8,2019,26939,4306,31245,203181
Feb,Week 8,2019,26843,4455,31298,203181
Feb,Week 8,2019,20434,4775,25209,203181
Feb,Week 9,2019,23134,4387,27521,207143
Feb,Week 9,2019,24898,4243,29141,207143
Feb,Week 9,2019,26183,4087,30270,207143
Feb,Week 9,2019,26758,4134,30892,207143
Feb,Week 9,2019,27532,4379,31911,207143
Mar,Week 9,2019,27107,4463,31570,207143
Mar,Week 9,2019,21050,4788,25838,207143
Mar,Week 10,2019,23879,4450,28329,212717
Mar,Week 10,2019,25747,4286,30033,212717
Mar,Week 10,2019,26730,4159,30889,212717
Mar,Week 10,2019,27124,4234,31358,212717
Mar,Week 10,2019,28138,4443,32581,212717
Mar,Week 10,2019,27791,4528,32319,212717
Mar,Week 10,2019,22306,4902,27208,212717
Mar,Week 11,2019,25167,4588,29755,214242
Mar,Week 11,2019,26867,4428,31295,214242
Mar,Week 11,2019,27277,4208,31485,214242
Mar,Week 11,2019,25927,4257,30184,214242
Mar,Week 11,2019,27454,4408,31862,214242
Mar,Week 11,2019,27852,4469,32321,214242
