ID,OBS_DATE,ASM,ASM_D11,ASM_D,ASM_D_D11,ASM_I,ASM_I_D11,RPM,RPM_D11,RPM_D,RPM_D_D11,RPM_I,RPM_I_D11,LOAD_FACTOR,LOAD_FACTOR_D11,LOAD_FACTOR_D,LOAD_FACTOR_D_D11,LOAD_FACTOR_I,LOAD_FACTOR_I_D11,ENPLANE_I,ENPLANE_I_D11,ENPLANE_D,ENPLANE_D_D11,ENPLANE,ENPLANE_D11,AIR_RPM_TSI,AIR_RPM_TSI_D11,AIR_RTMFM,AIR_RTMFM_D11,RAIL_FRT_CARLOADS,RAIL_FRT_CARLOADS_D11,RAIL_FRT_INTERMODAL,RAIL_FRT_INTERMODAL_D11,RAIL_PM,RAIL_PM_D11,TRANSIT,TRANSIT_D11,PETROLEUM,PETROLEUM_D11,NATURAL_GAS,NATURAL_GAS_D11,WATERBORNE,WATERBORNE_D11,TRUCK_D11,VMT,VMT_D11,TSI_Freight,TSI_Freight_C,TSI_Passenger,TSI_Passenger_C,TSI_Total,TSI_Total_C,IND_PRO,MANUF,INV_TO_SALES,IDX_AIR_RPM,IDX_AIR_RTMFM,IDX_RAIL_FRT_CARLOADS,IDX_RAIL_FRT_INTERMODAL,IDX_RAIL_PM,IDX_TRANSIT_D11,IDX_PETROLEUM_D11,IDX_NATURAL_GAS_D11,IDX_WATERBORNE_D11,IDX_TRUCK_D11
SATD200001,01/01/2000,"76,146,639","77,901,804","56,288,872","57,540,841","19,857,767","20,360,962","48,263,245","53,759,143","34,913,749","39,576,117","13,349,496","14,183,027",63.4,69,62,68.8,67.2,69.7,"4,952","5,182","41,540","47,897","46,492","53,079","49,843,099","56,166,911","2,182,683","2,472,796","1,402,926","1,422,005","723,747","767,436","366,607,410","446,566,083","724,934","768,750","215,985","212,917","2,510.5","1,809.7",48.4,55.3,80,"203,442","227,235",105.1,,95.8,,102,,98.845068351,100.69017704,1.58,0.9522,0.9632,1.0164,1.0052,0.9581,0.9763,0.9518,0.966,1.1202,1.0681
SATD200002,02/01/2000,"73,011,377","78,582,102","54,329,819","57,846,034","18,681,558","20,736,068","48,580,127","55,677,631","36,005,847","40,678,923","12,574,280","14,998,708",66.5,70.9,66.3,70.3,67.3,72.3,"4,812","5,448","43,714","48,584","48,526","54,032","49,931,931","57,898,755","2,341,123","2,528,678","1,341,942","1,420,026","710,611","765,376","366,139,276","444,292,334","756,536","767,839","210,132","225,973","2,330.7","1,830.3",42,48.7,78.4,"199,261","228,727",103.2,-1.8,97.9,2.2,101.4,-0.6,99.208080261,97.084808681,1.56,0.9815,0.985,1.0149,1.0025,0.9532,0.9751,1.0102,0.977,0.9848,1.0473
SATD200003,03/01/2000,"80,308,529","79,340,317","59,913,798","58,419,630","20,394,731","20,920,688","59,632,014","56,730,543","43,901,516","41,182,832","15,730,498","15,547,711",74.3,71.5,73.3,70.5,77.1,74.3,"5,787","5,549","52,977","48,751","58,764","54,300","61,478,163","58,726,608","2,699,633","2,492,724","1,452,147","1,409,950","771,025","765,033","453,096,388","455,027,256","843,730","787,799","216,833","220,030","2,050.6","1,722.9",52.5,52.5,74.6,"232,490","230,237",99.7,-3.4,99.6,1.7,99.7,-1.7,99.584792768,99.767561393,1.55,0.9956,0.971,1.0077,1.002,0.9762,1.0005,0.9836,0.9197,1.0619,0.9965
SATD200004,04/01/2000,"78,139,993","79,339,816","57,402,637","58,380,946","20,737,356","20,958,870","57,636,732","57,771,784","41,954,244","41,708,476","15,682,488","16,063,307",73.8,72.8,73.1,71.4,75.6,76.6,"5,688","5,700","50,344","49,803","56,032","55,503","58,981,617","59,222,027","2,528,558","2,553,346","1,386,030","1,400,408","747,905","764,223","473,751,011","466,878,772","757,458","774,371","219,340","222,417","1,783.3","1,840.5",52.2,50.8,72.6,"227,698","229,068",97.9,-1.8,99.8,0.2,98.6,-1.1,100.20552695,101.49628784,1.58,1.004,0.9946,1.0009,1.001,1.0017,0.9834,0.9943,0.9825,1.0289,0.9693
SATD200005,05/01/2000,"80,515,093","79,082,902","58,896,522","58,173,898","21,618,571","20,909,004","59,749,900","59,132,888","43,168,824","42,789,480","16,581,076","16,343,408",74.2,74.8,73.3,73.6,76.7,78.2,"5,892","5,831","52,309","50,277","58,201","56,108","61,223,861","61,173,965","2,528,225","2,521,704","1,440,661","1,405,399","772,852","762,377","481,725,263","474,351,227","818,246","782,197","225,649","218,980","1,632.9","1,970.4",53.5,52.5,73.2,"242,501","229,651",98.8,0.9,102.5,2.7,100,1.4,100.50197769,99.714734437,1.59,1.0371,0.9823,1.0045,0.9985,1.0177,0.9934,0.9789,1.0518,1.063,0.9766
SATD200006,06/01/2000,"80,393,854","78,952,837","58,286,914","57,655,482","22,106,940","21,297,355","64,046,964","58,232,791","45,856,363","41,907,504","18,190,601","16,325,287",79.7,73.8,78.7,72.7,82.3,76.7,"6,400","5,738","54,673","49,304","61,073","55,042","65,601,574","59,740,171","2,537,148","2,513,891","1,390,222","1,394,715","763,056","753,863","517,102,460","458,025,394","793,911","786,964","225,621","220,781","1,513.1","1,880.6",50.4,48.5,75,"242,963","230,024",99.7,0.9,100.9,-1.6,100.1,0.1,100.56109523,101.3066819,1.6,1.0128,0.9792,0.9969,0.9874,0.9827,0.9994,0.987,1.0039,0.9822,1.0013
SATD200007,07/01/2000,"83,853,711","78,964,405","60,607,052","57,655,314","23,246,659","21,309,091","66,435,577","58,202,149","47,303,803","41,717,834","19,131,774","16,484,316",79.2,73.7,78,72.4,82.3,77.4,"7,014","5,821","55,568","50,292","62,582","56,113","67,898,320","59,182,853","2,461,623","2,476,752","1,377,790","1,400,455","760,109","757,940","564,747,276","472,159,825","743,746","790,077","228,889","222,306","1,525.6","1,737.5",53.3,49.6,72.9,"245,140","228,840",97.7,-2,100.4,-0.5,98.6,-1.5,100.37036564,100.32609937,1.6,1.0033,0.9647,1.001,0.9927,1.013,1.0034,0.9938,0.9275,1.0036,0.9736
SATD200008,08/01/2000,"84,702,734","79,339,798","61,479,288","57,949,310","23,223,446","21,390,488","65,252,958","57,186,826","46,457,758","40,802,266","18,795,200","16,384,560",77,72.1,75.6,70.4,80.9,76.6,"6,881","5,912","54,474","50,275","61,355","56,187","67,028,338","58,595,197","2,623,412","2,566,926","1,473,014","1,401,872","814,860","756,925","558,060,051","476,060,718","787,064","789,544","231,542","225,257","1,653.1","1,850.6",50.9,48.3,74.7,"247,832","229,339",99.6,1.9,99.6,-0.8,99.7,1.1,100.10066883,98.937749857,1.62,0.9934,0.9999,1.002,0.9914,1.0214,1.0027,1.007,0.9879,0.9779,0.9975
SATD200009,09/01/2000,"79,912,506","81,500,991","57,899,315","59,916,904","22,013,191","21,584,086","55,470,176","60,267,850","38,372,644","43,152,562","17,097,532","17,115,288",69.4,73.9,66.3,72,77.7,79.3,"5,859","6,430","46,363","52,445","52,222","58,875","56,441,629","60,966,977","2,711,279","2,763,619","1,427,099","1,417,716","789,037","766,701","446,489,429","480,842,493","802,516","792,810","222,945","225,377","1,475","1,858.3",47.3,48.5,74.1,"227,899","231,166",99.7,0.1,102.6,3,100.7,1,100.49410254,101.68503712,1.59,1.0336,1.0765,1.0133,1.0042,1.0316,1.0068,1.0075,0.992,0.9816,0.9887
SATD200010,10/01/2000,"82,627,553","81,251,099","60,761,374","59,523,331","21,866,179","21,727,768","57,979,416","59,514,702","41,820,446","42,716,362","16,158,970","16,798,340",70.2,73.2,68.8,71.8,73.9,77.3,"5,635","6,213","50,920","51,771","56,555","57,983","58,834,210","59,416,461","2,839,068","2,642,908","1,489,125","1,395,460","859,903","782,596","462,329,685","487,311,973","851,255","796,622","234,903","234,324","1,567.9","1,872.4",50.8,47.8,74.2,"236,491","230,372",99.5,-0.2,100.9,-1.7,100,-0.7,100.15040092,99.584237579,1.6,1.0073,1.0295,0.9974,1.025,1.0455,1.0117,1.0475,0.9995,0.968,0.9908
